record_id,crop,district,season,rainfall_mm,fertilizer_kg_ha,temperature_c,humidity_pct,soil_ph,yield_t_ha,data_source,is_synthetic
SYN-0206,maize,Gokwe South,2024/25,814.1,153.1,28.8,67.2,5.03,2.008,MundaSense deterministic synthetic demo generator v1,True
SYN-0207,maize,Plumtree,2023/24,494.9,143.4,25.7,49.3,6.88,1.237,MundaSense deterministic synthetic demo generator v1,True
SYN-0208,maize,Zvishavane,2022/23,460.5,145.6,32.8,52.6,5.16,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0209,maize,Gokwe South,2022/23,708.6,86.6,25.6,78.2,6.67,3.04,MundaSense deterministic synthetic demo generator v1,True
SYN-0210,maize,Plumtree,2023/24,335.9,103.1,24.2,83.5,5.6,1.704,MundaSense deterministic synthetic demo generator v1,True
SYN-0211,maize,Gokwe South,2023/24,692.1,126.5,25.1,55.5,7.25,2.939,MundaSense deterministic synthetic demo generator v1,True
SYN-0212,maize,Mutare,2023/24,639.0,105.0,25.9,62.9,6.64,3.07,MundaSense deterministic synthetic demo generator v1,True
SYN-0213,maize,Plumtree,2022/23,592.7,84.9,26.4,65.9,5.37,2.263,MundaSense deterministic synthetic demo generator v1,True
SYN-0214,maize,Goromonzi,2023/24,913.8,54.8,31.5,78.0,5.44,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0215,maize,Mutare,2022/23,504.9,100.3,22.5,63.8,6.54,2.684,MundaSense deterministic synthetic demo generator v1,True
SYN-0216,maize,Gokwe South,2024/25,1001.2,34.2,27.8,60.3,5.91,1.396,MundaSense deterministic synthetic demo generator v1,True
SYN-0217,maize,Bindura,2021/22,578.3,20.6,25.7,79.9,5.98,1.485,MundaSense deterministic synthetic demo generator v1,True
SYN-0218,maize,Bindura,2021/22,383.8,46.5,20.2,66.5,7.02,0.624,MundaSense deterministic synthetic demo generator v1,True
SYN-0219,maize,Goromonzi,2022/23,632.9,144.7,27.5,71.3,5.56,3.89,MundaSense deterministic synthetic demo generator v1,True
SYN-0220,maize,Zvishavane,2023/24,420.9,114.1,29.0,50.4,6.17,0.458,MundaSense deterministic synthetic demo generator v1,True
SYN-0221,maize,Chinhoyi,2023/24,480.9,145.5,22.4,66.7,6.79,2.517,MundaSense deterministic synthetic demo generator v1,True
SYN-0222,maize,Goromonzi,2022/23,693.5,63.6,25.1,51.5,6.68,2.812,MundaSense deterministic synthetic demo generator v1,True
SYN-0223,maize,Mutare,2024/25,722.8,176.1,19.8,60.7,5.99,2.992,MundaSense deterministic synthetic demo generator v1,True
SYN-0224,maize,Chinhoyi,2022/23,504.9,37.2,21.2,76.7,5.89,1.677,MundaSense deterministic synthetic demo generator v1,True
SYN-0225,maize,Mutare,2021/22,802.7,47.7,28.3,63.7,4.85,0.886,MundaSense deterministic synthetic demo generator v1,True
SYN-0226,maize,Gokwe South,2021/22,834.1,174.4,23.7,64.6,5.34,3.086,MundaSense deterministic synthetic demo generator v1,True
SYN-0227,maize,Plumtree,2024/25,885.7,109.3,21.7,62.1,6.33,2.066,MundaSense deterministic synthetic demo generator v1,True
SYN-0228,maize,Masvingo,2021/22,717.9,146.0,25.8,63.9,6.0,3.352,MundaSense deterministic synthetic demo generator v1,True
SYN-0229,maize,Masvingo,2024/25,872.2,114.4,23.5,70.3,6.15,3.171,MundaSense deterministic synthetic demo generator v1,True
SYN-0230,maize,Chinhoyi,2022/23,272.1,69.6,23.6,76.3,6.85,1.977,MundaSense deterministic synthetic demo generator v1,True
SYN-0231,maize,Goromonzi,2021/22,561.2,43.8,27.4,41.2,5.25,1.643,MundaSense deterministic synthetic demo generator v1,True
SYN-0232,maize,Plumtree,2022/23,459.6,25.3,21.5,61.5,5.93,3.154,MundaSense deterministic synthetic demo generator v1,True
SYN-0233,maize,Bindura,2023/24,642.1,251.9,22.3,69.8,6.24,4.072,MundaSense deterministic synthetic demo generator v1,True
SYN-0234,maize,Plumtree,2022/23,514.3,30.5,25.6,65.2,5.59,2.17,MundaSense deterministic synthetic demo generator v1,True
SYN-0235,maize,Goromonzi,2024/25,589.3,211.3,28.1,68.0,7.13,2.252,MundaSense deterministic synthetic demo generator v1,True
SYN-0236,maize,Mutare,2023/24,968.2,105.8,28.9,66.2,6.75,0.743,MundaSense deterministic synthetic demo generator v1,True
SYN-0237,maize,Mutare,2022/23,588.6,116.4,23.0,65.1,6.31,4.049,MundaSense deterministic synthetic demo generator v1,True
SYN-0238,maize,Goromonzi,2023/24,696.6,112.0,28.0,59.7,7.39,2.929,MundaSense deterministic synthetic demo generator v1,True
SYN-0239,maize,Gokwe South,2024/25,577.0,135.8,22.7,65.9,5.02,3.49,MundaSense deterministic synthetic demo generator v1,True
SYN-0240,maize,Mutare,2022/23,634.0,59.7,30.8,72.8,6.09,1.019,MundaSense deterministic synthetic demo generator v1,True
SYN-0241,maize,Chinhoyi,2021/22,621.1,18.2,21.6,62.3,6.36,1.761,MundaSense deterministic synthetic demo generator v1,True
SYN-0242,maize,Masvingo,2022/23,702.9,68.7,29.2,63.0,5.44,1.587,MundaSense deterministic synthetic demo generator v1,True
SYN-0243,maize,Bindura,2024/25,835.6,129.3,23.1,69.5,6.32,2.748,MundaSense deterministic synthetic demo generator v1,True
SYN-0244,maize,Mutare,2021/22,924.8,48.1,31.3,76.1,5.3,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0245,maize,Mutare,2024/25,677.3,178.5,26.9,62.4,6.6,3.463,MundaSense deterministic synthetic demo generator v1,True
SYN-0246,maize,Bindura,2023/24,729.1,92.0,22.0,77.3,6.86,3.035,MundaSense deterministic synthetic demo generator v1,True
SYN-0247,maize,Plumtree,2023/24,407.1,45.0,23.5,78.7,6.3,1.901,MundaSense deterministic synthetic demo generator v1,True
SYN-0248,maize,Goromonzi,2022/23,603.7,108.7,27.5,64.2,4.77,2.371,MundaSense deterministic synthetic demo generator v1,True
SYN-0249,maize,Plumtree,2024/25,794.0,128.0,28.4,62.2,5.4,2.177,MundaSense deterministic synthetic demo generator v1,True
SYN-0250,maize,Bindura,2021/22,780.2,133.4,24.9,63.6,6.51,2.786,MundaSense deterministic synthetic demo generator v1,True
SYN-0251,maize,Chinhoyi,2022/23,659.1,7.1,25.2,64.0,6.12,2.714,MundaSense deterministic synthetic demo generator v1,True
SYN-0252,maize,Goromonzi,2022/23,784.0,5.9,27.5,72.5,4.2,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0253,maize,Chinhoyi,2022/23,710.8,174.5,25.5,68.2,6.99,2.421,MundaSense deterministic synthetic demo generator v1,True
SYN-0254,maize,Gokwe South,2022/23,842.1,35.1,21.1,71.4,6.2,2.324,MundaSense deterministic synthetic demo generator v1,True
SYN-0255,maize,Mutare,2021/22,673.5,174.6,22.6,58.1,5.51,2.868,MundaSense deterministic synthetic demo generator v1,True
SYN-0256,maize,Chinhoyi,2021/22,554.2,183.7,25.8,57.2,6.82,3.39,MundaSense deterministic synthetic demo generator v1,True
SYN-0257,maize,Mutare,2021/22,682.1,43.9,28.9,83.1,5.61,1.733,MundaSense deterministic synthetic demo generator v1,True
SYN-0258,maize,Bindura,2023/24,150.0,50.3,30.1,61.3,5.6,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0259,maize,Chinhoyi,2022/23,690.8,150.2,27.5,57.8,6.36,3.31,MundaSense deterministic synthetic demo generator v1,True
SYN-0260,maize,Masvingo,2023/24,150.0,77.3,26.0,78.7,7.38,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0261,maize,Plumtree,2023/24,301.2,198.9,27.4,67.3,7.27,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0262,maize,Chinhoyi,2023/24,703.6,229.9,23.0,73.1,6.36,3.612,MundaSense deterministic synthetic demo generator v1,True
SYN-0263,maize,Gokwe South,2023/24,708.3,45.0,24.6,65.5,6.43,2.544,MundaSense deterministic synthetic demo generator v1,True
SYN-0264,maize,Zvishavane,2023/24,405.0,58.9,22.5,65.4,6.67,1.451,MundaSense deterministic synthetic demo generator v1,True
SYN-0265,maize,Zvishavane,2023/24,488.3,105.4,21.2,67.6,5.19,2.684,MundaSense deterministic synthetic demo generator v1,True
SYN-0266,maize,Masvingo,2023/24,873.6,17.8,26.1,53.3,6.56,0.811,MundaSense deterministic synthetic demo generator v1,True
SYN-0267,maize,Goromonzi,2023/24,530.5,26.0,25.7,65.2,5.57,2.485,MundaSense deterministic synthetic demo generator v1,True
SYN-0268,maize,Gokwe South,2022/23,1034.9,54.5,27.2,67.6,6.33,0.6,MundaSense deterministic synthetic demo generator v1,True
SYN-0269,maize,Masvingo,2021/22,619.6,273.9,26.8,81.9,5.94,3.054,MundaSense deterministic synthetic demo generator v1,True
SYN-0270,maize,Masvingo,2024/25,695.5,115.0,25.9,66.7,6.46,3.341,MundaSense deterministic synthetic demo generator v1,True
SYN-0271,maize,Gokwe South,2022/23,919.1,65.3,26.8,44.2,6.19,1.843,MundaSense deterministic synthetic demo generator v1,True
SYN-0272,maize,Bindura,2023/24,644.2,50.0,25.0,65.7,4.2,1.075,MundaSense deterministic synthetic demo generator v1,True
SYN-0273,maize,Chinhoyi,2021/22,434.6,43.5,26.4,90.2,6.23,0.878,MundaSense deterministic synthetic demo generator v1,True
SYN-0274,maize,Zvishavane,2022/23,599.7,68.5,22.8,75.8,6.56,3.21,MundaSense deterministic synthetic demo generator v1,True
SYN-0275,maize,Goromonzi,2023/24,613.4,66.0,26.2,58.3,6.42,3.766,MundaSense deterministic synthetic demo generator v1,True
SYN-0276,maize,Goromonzi,2023/24,367.5,86.1,27.2,70.3,6.03,1.823,MundaSense deterministic synthetic demo generator v1,True
SYN-0277,maize,Goromonzi,2023/24,572.7,131.6,23.0,61.2,7.28,2.478,MundaSense deterministic synthetic demo generator v1,True
SYN-0278,maize,Plumtree,2022/23,482.7,94.4,25.3,54.1,6.32,2.591,MundaSense deterministic synthetic demo generator v1,True
SYN-0279,maize,Bindura,2024/25,791.0,155.3,23.2,64.6,6.42,4.81,MundaSense deterministic synthetic demo generator v1,True
SYN-0280,maize,Bindura,2023/24,626.4,82.3,23.5,68.4,6.85,3.129,MundaSense deterministic synthetic demo generator v1,True
SYN-0281,maize,Gokwe South,2024/25,567.7,239.6,21.6,52.0,6.36,3.907,MundaSense deterministic synthetic demo generator v1,True
SYN-0282,maize,Goromonzi,2023/24,600.4,153.2,29.0,53.3,5.45,1.556,MundaSense deterministic synthetic demo generator v1,True
SYN-0283,maize,Mutare,2023/24,661.3,113.2,28.4,64.2,4.34,0.979,MundaSense deterministic synthetic demo generator v1,True
SYN-0284,maize,Goromonzi,2024/25,734.1,131.8,26.8,61.6,5.76,3.661,MundaSense deterministic synthetic demo generator v1,True
SYN-0285,maize,Goromonzi,2021/22,435.1,69.7,31.2,65.7,6.65,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0286,maize,Zvishavane,2024/25,427.3,85.3,24.5,55.9,5.85,1.99,MundaSense deterministic synthetic demo generator v1,True
SYN-0287,maize,Chinhoyi,2024/25,824.4,83.2,34.5,66.3,6.68,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0288,maize,Masvingo,2023/24,543.7,60.4,24.4,56.3,6.21,2.968,MundaSense deterministic synthetic demo generator v1,True
SYN-0289,maize,Masvingo,2023/24,357.9,38.3,25.9,80.7,7.03,1.294,MundaSense deterministic synthetic demo generator v1,True
SYN-0290,maize,Goromonzi,2023/24,702.1,136.0,23.9,51.9,5.89,4.234,MundaSense deterministic synthetic demo generator v1,True
SYN-0291,maize,Plumtree,2022/23,705.7,169.3,26.3,55.8,6.44,3.966,MundaSense deterministic synthetic demo generator v1,True
SYN-0292,maize,Gokwe South,2024/25,336.8,125.0,27.7,68.4,6.46,1.476,MundaSense deterministic synthetic demo generator v1,True
SYN-0293,maize,Zvishavane,2021/22,662.5,94.2,24.7,81.7,7.18,2.238,MundaSense deterministic synthetic demo generator v1,True
SYN-0294,maize,Gokwe South,2022/23,756.1,299.7,30.6,65.4,4.87,1.22,MundaSense deterministic synthetic demo generator v1,True
SYN-0295,maize,Masvingo,2023/24,689.3,64.8,25.8,71.0,5.77,2.903,MundaSense deterministic synthetic demo generator v1,True
SYN-0296,maize,Masvingo,2024/25,736.9,115.5,25.9,66.0,6.71,2.585,MundaSense deterministic synthetic demo generator v1,True
SYN-0297,maize,Plumtree,2022/23,360.2,183.1,22.3,59.2,7.21,1.169,MundaSense deterministic synthetic demo generator v1,True
SYN-0298,maize,Goromonzi,2022/23,681.2,46.8,26.4,61.1,6.27,3.267,MundaSense deterministic synthetic demo generator v1,True
SYN-0299,maize,Gokwe South,2021/22,564.0,142.0,24.7,55.8,5.89,2.874,MundaSense deterministic synthetic demo generator v1,True
SYN-0300,maize,Bindura,2021/22,530.7,248.4,23.2,56.2,6.65,3.228,MundaSense deterministic synthetic demo generator v1,True
SYN-0301,maize,Gokwe South,2021/22,781.1,99.0,22.7,71.7,6.73,3.189,MundaSense deterministic synthetic demo generator v1,True
SYN-0302,maize,Plumtree,2021/22,893.7,109.4,33.4,50.5,5.84,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0303,maize,Bindura,2024/25,952.0,65.1,24.3,69.9,6.34,3.11,MundaSense deterministic synthetic demo generator v1,True
SYN-0304,maize,Zvishavane,2024/25,863.2,131.0,20.6,57.9,6.95,1.212,MundaSense deterministic synthetic demo generator v1,True
SYN-0305,maize,Masvingo,2024/25,599.7,59.4,22.9,70.6,7.46,2.425,MundaSense deterministic synthetic demo generator v1,True
SYN-0306,maize,Chinhoyi,2021/22,685.3,95.5,24.9,62.1,6.63,3.519,MundaSense deterministic synthetic demo generator v1,True
SYN-0307,maize,Gokwe South,2021/22,761.9,34.9,26.8,77.9,6.13,1.25,MundaSense deterministic synthetic demo generator v1,True
SYN-0308,maize,Masvingo,2022/23,642.4,10.9,26.8,68.1,6.06,1.792,MundaSense deterministic synthetic demo generator v1,True
SYN-0309,maize,Gokwe South,2023/24,644.2,73.6,27.2,76.1,6.5,1.867,MundaSense deterministic synthetic demo generator v1,True
SYN-0310,maize,Bindura,2022/23,772.4,72.9,23.1,61.0,6.02,3.264,MundaSense deterministic synthetic demo generator v1,True
SYN-0311,maize,Mutare,2022/23,609.0,77.7,26.2,66.2,6.24,3.814,MundaSense deterministic synthetic demo generator v1,True
SYN-0312,maize,Mutare,2021/22,485.1,150.6,22.4,59.5,5.34,3.409,MundaSense deterministic synthetic demo generator v1,True
SYN-0313,maize,Bindura,2023/24,543.3,172.0,23.2,64.1,7.03,2.649,MundaSense deterministic synthetic demo generator v1,True
SYN-0314,maize,Gokwe South,2022/23,737.3,118.3,22.3,66.1,5.28,3.115,MundaSense deterministic synthetic demo generator v1,True
SYN-0315,maize,Chinhoyi,2021/22,620.6,144.6,21.4,62.5,5.79,3.266,MundaSense deterministic synthetic demo generator v1,True
SYN-0316,maize,Mutare,2023/24,682.9,60.5,28.4,53.2,6.17,2.174,MundaSense deterministic synthetic demo generator v1,True
SYN-0317,maize,Mutare,2024/25,744.0,51.1,27.2,52.2,7.53,2.14,MundaSense deterministic synthetic demo generator v1,True
SYN-0318,maize,Mutare,2021/22,550.7,132.5,28.1,43.3,5.8,2.025,MundaSense deterministic synthetic demo generator v1,True
SYN-0319,maize,Zvishavane,2022/23,759.9,46.4,25.2,56.8,5.62,3.451,MundaSense deterministic synthetic demo generator v1,True
SYN-0320,maize,Plumtree,2024/25,690.1,42.8,27.5,70.4,5.7,2.686,MundaSense deterministic synthetic demo generator v1,True
SYN-0321,maize,Gokwe South,2023/24,391.6,360.0,19.6,55.9,7.29,0.478,MundaSense deterministic synthetic demo generator v1,True
SYN-0322,maize,Bindura,2024/25,886.8,102.9,27.8,52.2,4.2,1.086,MundaSense deterministic synthetic demo generator v1,True
SYN-0323,maize,Masvingo,2022/23,527.4,72.9,25.6,82.2,5.38,2.448,MundaSense deterministic synthetic demo generator v1,True
SYN-0324,maize,Zvishavane,2022/23,313.8,67.7,27.0,59.3,8.07,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0325,maize,Zvishavane,2023/24,426.7,35.7,26.3,68.5,6.53,1.995,MundaSense deterministic synthetic demo generator v1,True
SYN-0326,maize,Chinhoyi,2021/22,431.1,116.8,22.0,74.4,5.3,1.977,MundaSense deterministic synthetic demo generator v1,True
SYN-0327,maize,Chinhoyi,2021/22,629.7,82.2,20.5,75.6,6.07,2.46,MundaSense deterministic synthetic demo generator v1,True
SYN-0328,maize,Bindura,2023/24,569.3,169.2,22.9,54.3,6.15,3.391,MundaSense deterministic synthetic demo generator v1,True
SYN-0329,maize,Chinhoyi,2023/24,557.7,134.9,26.9,63.1,6.71,1.726,MundaSense deterministic synthetic demo generator v1,True
SYN-0330,maize,Masvingo,2021/22,734.6,80.5,27.2,50.4,7.42,1.594,MundaSense deterministic synthetic demo generator v1,True
SYN-0331,maize,Masvingo,2023/24,682.9,21.9,20.9,91.4,6.38,1.054,MundaSense deterministic synthetic demo generator v1,True
SYN-0332,maize,Gokwe South,2022/23,678.5,103.0,22.1,54.2,5.71,2.451,MundaSense deterministic synthetic demo generator v1,True
SYN-0333,maize,Gokwe South,2023/24,695.8,97.5,22.9,58.6,6.67,3.677,MundaSense deterministic synthetic demo generator v1,True
SYN-0334,maize,Plumtree,2024/25,734.0,18.2,24.0,57.8,5.6,2.797,MundaSense deterministic synthetic demo generator v1,True
SYN-0335,maize,Goromonzi,2021/22,230.0,126.0,20.9,55.9,5.36,0.976,MundaSense deterministic synthetic demo generator v1,True
SYN-0336,maize,Plumtree,2024/25,552.6,45.3,20.7,81.7,4.83,0.859,MundaSense deterministic synthetic demo generator v1,True
SYN-0337,maize,Zvishavane,2022/23,216.7,174.2,22.6,90.0,4.97,0.693,MundaSense deterministic synthetic demo generator v1,True
SYN-0338,maize,Gokwe South,2024/25,626.7,94.0,25.4,62.0,5.45,3.548,MundaSense deterministic synthetic demo generator v1,True
SYN-0339,maize,Chinhoyi,2022/23,619.1,66.5,21.4,57.1,5.25,2.182,MundaSense deterministic synthetic demo generator v1,True
SYN-0340,maize,Zvishavane,2022/23,813.4,111.7,24.7,46.5,6.33,2.844,MundaSense deterministic synthetic demo generator v1,True
SYN-0341,maize,Mutare,2024/25,839.7,107.7,28.4,61.9,5.24,2.242,MundaSense deterministic synthetic demo generator v1,True
SYN-0342,maize,Gokwe South,2023/24,657.5,105.4,21.1,66.4,4.2,0.245,MundaSense deterministic synthetic demo generator v1,True
SYN-0343,maize,Masvingo,2021/22,527.4,161.4,24.5,61.0,5.35,2.531,MundaSense deterministic synthetic demo generator v1,True
SYN-0344,maize,Masvingo,2023/24,709.8,115.8,28.3,66.2,5.76,1.821,MundaSense deterministic synthetic demo generator v1,True
SYN-0345,maize,Zvishavane,2024/25,522.3,62.7,23.8,70.9,5.66,2.573,MundaSense deterministic synthetic demo generator v1,True
SYN-0346,maize,Gokwe South,2022/23,619.7,83.8,23.3,70.6,7.19,2.507,MundaSense deterministic synthetic demo generator v1,True
SYN-0347,maize,Zvishavane,2024/25,802.4,209.2,28.7,61.1,5.66,2.211,MundaSense deterministic synthetic demo generator v1,True
SYN-0348,maize,Zvishavane,2023/24,516.8,59.0,24.2,57.2,6.73,3.25,MundaSense deterministic synthetic demo generator v1,True
SYN-0349,maize,Chinhoyi,2022/23,769.1,124.9,28.5,70.0,6.09,2.174,MundaSense deterministic synthetic demo generator v1,True
SYN-0350,maize,Chinhoyi,2021/22,745.3,164.7,26.4,65.6,6.07,3.271,MundaSense deterministic synthetic demo generator v1,True
SYN-0351,maize,Masvingo,2023/24,443.4,131.9,24.0,75.2,5.5,3.019,MundaSense deterministic synthetic demo generator v1,True
SYN-0352,maize,Bindura,2021/22,800.2,103.4,26.6,72.5,6.06,2.432,MundaSense deterministic synthetic demo generator v1,True
SYN-0353,maize,Gokwe South,2024/25,749.2,113.0,26.1,52.9,5.55,3.847,MundaSense deterministic synthetic demo generator v1,True
SYN-0354,maize,Goromonzi,2023/24,638.9,136.7,28.3,51.3,6.22,2.52,MundaSense deterministic synthetic demo generator v1,True
SYN-0355,maize,Zvishavane,2022/23,479.0,58.6,23.4,60.8,5.93,3.246,MundaSense deterministic synthetic demo generator v1,True
SYN-0356,maize,Zvishavane,2021/22,461.0,97.9,25.2,56.8,5.42,2.375,MundaSense deterministic synthetic demo generator v1,True
SYN-0357,maize,Chinhoyi,2023/24,520.5,298.8,24.9,73.4,6.81,3.219,MundaSense deterministic synthetic demo generator v1,True
SYN-0358,maize,Zvishavane,2021/22,720.4,127.1,27.3,68.1,6.41,2.501,MundaSense deterministic synthetic demo generator v1,True
SYN-0359,maize,Bindura,2022/23,443.2,105.6,21.9,78.5,5.78,2.011,MundaSense deterministic synthetic demo generator v1,True
SYN-0360,maize,Mutare,2024/25,700.9,78.6,28.3,67.8,6.2,2.529,MundaSense deterministic synthetic demo generator v1,True
SYN-0361,maize,Plumtree,2024/25,390.3,59.0,26.5,67.3,6.04,2.041,MundaSense deterministic synthetic demo generator v1,True
SYN-0362,maize,Zvishavane,2024/25,582.2,115.3,21.0,80.1,5.48,2.397,MundaSense deterministic synthetic demo generator v1,True
SYN-0363,maize,Chinhoyi,2024/25,640.3,120.0,28.8,68.0,6.15,2.252,MundaSense deterministic synthetic demo generator v1,True
SYN-0364,maize,Zvishavane,2023/24,1072.3,94.0,32.0,62.2,5.65,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0365,maize,Bindura,2021/22,365.2,360.0,28.2,77.6,5.42,1.707,MundaSense deterministic synthetic demo generator v1,True
SYN-0366,maize,Masvingo,2024/25,892.3,62.4,29.5,64.4,4.93,0.76,MundaSense deterministic synthetic demo generator v1,True
SYN-0367,maize,Goromonzi,2024/25,647.7,53.1,25.4,63.5,5.84,3.024,MundaSense deterministic synthetic demo generator v1,True
SYN-0368,maize,Gokwe South,2024/25,696.1,79.3,19.9,62.5,6.51,2.098,MundaSense deterministic synthetic demo generator v1,True
SYN-0369,maize,Bindura,2023/24,641.9,95.8,19.4,76.8,5.6,2.102,MundaSense deterministic synthetic demo generator v1,True
SYN-0370,maize,Plumtree,2021/22,702.3,57.0,25.9,77.0,7.91,1.996,MundaSense deterministic synthetic demo generator v1,True
SYN-0371,maize,Gokwe South,2023/24,591.6,113.6,23.3,67.3,6.74,3.476,MundaSense deterministic synthetic demo generator v1,True
SYN-0372,maize,Mutare,2022/23,889.0,120.9,22.3,80.2,7.04,1.652,MundaSense deterministic synthetic demo generator v1,True
SYN-0373,maize,Goromonzi,2024/25,535.6,145.9,24.9,48.8,6.67,3.223,MundaSense deterministic synthetic demo generator v1,True
SYN-0374,maize,Gokwe South,2022/23,829.5,71.5,27.0,64.6,7.43,1.289,MundaSense deterministic synthetic demo generator v1,True
SYN-0375,maize,Zvishavane,2022/23,500.8,199.6,20.6,69.2,5.53,2.109,MundaSense deterministic synthetic demo generator v1,True
SYN-0376,maize,Bindura,2021/22,608.9,140.4,23.7,60.9,4.26,2.777,MundaSense deterministic synthetic demo generator v1,True
SYN-0377,maize,Mutare,2024/25,421.7,61.6,29.8,84.6,5.78,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0378,maize,Mutare,2024/25,704.2,56.8,21.8,68.2,6.5,2.259,MundaSense deterministic synthetic demo generator v1,True
SYN-0379,maize,Goromonzi,2021/22,887.3,82.7,27.8,60.9,6.21,1.501,MundaSense deterministic synthetic demo generator v1,True
SYN-0380,maize,Gokwe South,2022/23,605.7,121.0,23.6,67.7,6.3,3.436,MundaSense deterministic synthetic demo generator v1,True
SYN-0381,maize,Bindura,2022/23,583.6,131.3,26.8,47.2,7.05,3.005,MundaSense deterministic synthetic demo generator v1,True
SYN-0382,maize,Zvishavane,2022/23,413.8,140.2,28.5,57.2,6.38,1.548,MundaSense deterministic synthetic demo generator v1,True
SYN-0383,maize,Zvishavane,2024/25,577.6,288.3,27.4,73.7,6.68,3.39,MundaSense deterministic synthetic demo generator v1,True
SYN-0384,maize,Chinhoyi,2021/22,325.3,27.5,27.9,58.8,5.42,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0385,maize,Bindura,2022/23,451.1,92.5,21.5,61.5,5.31,2.724,MundaSense deterministic synthetic demo generator v1,True
SYN-0386,maize,Bindura,2021/22,662.0,275.1,28.6,75.8,7.26,1.921,MundaSense deterministic synthetic demo generator v1,True
SYN-0387,maize,Bindura,2021/22,864.0,149.7,22.5,80.3,6.17,3.006,MundaSense deterministic synthetic demo generator v1,True
SYN-0388,maize,Plumtree,2024/25,1139.7,51.0,25.9,70.5,5.65,0.285,MundaSense deterministic synthetic demo generator v1,True
SYN-0389,maize,Zvishavane,2024/25,511.5,110.3,25.9,61.8,5.65,2.692,MundaSense deterministic synthetic demo generator v1,True
SYN-0390,maize,Chinhoyi,2021/22,885.5,89.2,26.6,63.2,5.63,2.233,MundaSense deterministic synthetic demo generator v1,True
SYN-0391,maize,Mutare,2023/24,665.1,87.3,26.1,58.5,5.59,3.413,MundaSense deterministic synthetic demo generator v1,True
SYN-0392,maize,Chinhoyi,2021/22,592.0,70.7,22.5,59.3,5.18,1.741,MundaSense deterministic synthetic demo generator v1,True
SYN-0393,maize,Gokwe South,2021/22,700.0,105.1,20.9,60.0,5.02,2.102,MundaSense deterministic synthetic demo generator v1,True
SYN-0394,maize,Masvingo,2022/23,631.5,179.4,27.8,59.0,5.96,2.114,MundaSense deterministic synthetic demo generator v1,True
SYN-0395,maize,Mutare,2021/22,640.4,74.7,25.7,56.7,5.67,3.09,MundaSense deterministic synthetic demo generator v1,True
SYN-0396,maize,Plumtree,2022/23,544.5,140.8,28.7,49.9,6.9,1.934,MundaSense deterministic synthetic demo generator v1,True
SYN-0397,maize,Bindura,2024/25,361.3,154.8,25.0,68.5,6.31,3.214,MundaSense deterministic synthetic demo generator v1,True
SYN-0398,maize,Chinhoyi,2023/24,334.4,198.7,20.7,71.6,6.29,1.389,MundaSense deterministic synthetic demo generator v1,True
SYN-0399,maize,Gokwe South,2023/24,740.9,56.2,28.1,79.6,5.56,2.001,MundaSense deterministic synthetic demo generator v1,True
SYN-0400,maize,Gokwe South,2022/23,568.8,100.3,24.0,61.2,6.01,3.768,MundaSense deterministic synthetic demo generator v1,True
SYN-0401,maize,Zvishavane,2021/22,509.7,65.6,26.2,68.4,6.36,1.338,MundaSense deterministic synthetic demo generator v1,True
SYN-0402,maize,Plumtree,2021/22,621.6,105.3,23.1,70.6,6.62,3.079,MundaSense deterministic synthetic demo generator v1,True
SYN-0403,maize,Gokwe South,2022/23,767.1,104.8,30.2,60.6,6.03,1.567,MundaSense deterministic synthetic demo generator v1,True
SYN-0404,maize,Zvishavane,2021/22,653.4,47.2,22.4,75.0,6.88,2.198,MundaSense deterministic synthetic demo generator v1,True
SYN-0405,maize,Goromonzi,2024/25,498.6,108.9,24.1,74.1,6.11,2.605,MundaSense deterministic synthetic demo generator v1,True
SYN-0406,maize,Masvingo,2024/25,846.9,296.2,25.4,69.1,6.67,3.533,MundaSense deterministic synthetic demo generator v1,True
SYN-0407,maize,Goromonzi,2024/25,912.1,131.6,21.7,66.5,5.75,2.158,MundaSense deterministic synthetic demo generator v1,True
SYN-0408,maize,Chinhoyi,2023/24,711.5,40.7,26.1,62.5,4.79,1.899,MundaSense deterministic synthetic demo generator v1,True
SYN-0409,maize,Zvishavane,2023/24,800.1,53.9,30.1,50.6,6.29,0.45,MundaSense deterministic synthetic demo generator v1,True
SYN-0410,maize,Bindura,2023/24,849.8,97.3,23.6,60.2,6.62,3.202,MundaSense deterministic synthetic demo generator v1,True
SYN-0411,maize,Chinhoyi,2022/23,829.1,54.7,26.3,60.0,6.51,2.271,MundaSense deterministic synthetic demo generator v1,True
